Key,Description
banner_h_1-1,First banner of the first list on the top of the home page (750 × 250).
banner_h_1-2,Second banner of the first list on the top of the the home page (1080 × 607).
banner_h_1-3,Third banner of the first list on the top of the home page (1080 × 607).
banner_h_2-1,First banner of the second list on the top of the home page (1080 × 528).
banner_h_2-2,Second banner of the second list on the top of the home page (1080 × 381).
banner_vb_1-1,First banner in the top list on the vertical bar (2000 × 785).
banner_vb_1-2,Second banner of the first list on the top of vertical bar (2000 × 785).
banner_vb_2-1,First banner of the last list on the bottom of vertical bar (180 × 71).
banner_vb_2-2,Second banner of the last list on the bottom of vertical bar (180 × 47).
banner_vb_2-3,Third banner of the last list on the bottom of vertical bar (180 × 47).
banner_vb_2-4,Fourth banner of the last list on the bottom of vertical bar (181 × 71).
banner_gl,Girl image on the left of the layout (346 × 1622).
banner_gr,Girl image on the right of the layout (379 × 1360).
logo,Logo on the top of the layout (150 × 40).
