Game type,tableid,簡中(cn),英文(en),繁中(zh),印尼文(id),泰文(th),越南文(vi),韓文(ko),日文(ja),葡萄牙文
WEA_SLOT,SLOT-WEA_SLOT-BonusMania,疯狂奖金,BonusMania,瘋狂獎金,BonusMania,BonusMania,BonusMania,BonusMania,BonusMania,BonusMania
WEA_SLOT,SLOT-WEA_SLOT-Treasurebowl,聚宝盆,Treasurebowl,聚寶盆,Treasurebowl,Treasurebowl,Treasurebowl,Treasurebowl,Treasurebowl,Treasurebowl
WEA_SLOT,SLOT-WEA_SLOT-GoldenBull,牛转钱坤,GoldenBull,牛轉錢坤,GoldenBull,GoldenBull,GoldenBull,GoldenBull,GoldenBull,GoldenBull
WEA_SLOT,SLOT-WEA_SLOT-FortuneGanesha,幸运象神,FortuneGanesha,幸運象神,FortuneGanesha,FortuneGanesha,FortuneGanesha,FortuneGanesha,FortuneGanesha,FortuneGanesha
WEA_SLOT,SLOT-WEA_SLOT-Luck88,金龙发发,Luck88,金龍發發,Luck88,Luck88,Luck88,Luck88,Luck88,Luck88
WEA_SLOT,SLOT-WEA_SLOT-KingOfDragon,四海龙王,KingOfDragon,四海龍王,KingOfDragon,KingOfDragon,KingOfDragon,KingOfDragon,KingOfDragon,KingOfDragon
WEA_SLOT,SLOT-WEA_SLOT-Cocorico,公鸡咕咕咕,Cocorico,公雞咕咕咕,Cocorico,Cocorico,Cocorico,Cocorico,Cocorico,Cocorico
WEA_SLOT,SLOT-WEA_SLOT-FireHit,超级火焰,FireHit,超級火焰,FireHit,FireHit,FireHit,FireHit,FireHit,FireHit
WEA_SLOT,SLOT-WEA_SLOT-GoldenBall,金球奖,GoldenBall,金球獎,GoldenBall,GoldenBall,GoldenBall,GoldenBall,GoldenBall,GoldenBall
WEA_SLOT,SLOT-WEA_SLOT-JokerFruit,王牌水果,JokerFruit,王牌水果,JokerFruit,JokerFruit,JokerFruit,JokerFruit,JokerFruit,JokerFruit
WEA_SLOT,SLOT-WEA_SLOT-FaCaiDestiny,呖咕呖咕发大财,FaCaiDestiny,嚦咕嚦咕發大財,FaCaiDestiny,FaCaiDestiny,FaCaiDestiny,FaCaiDestiny,FaCaiDestiny,FaCaiDestiny
WEA_SLOT,SLOT-WEA_SLOT-MilkGirl,牛乳美眉,MilkGirl,牛乳美眉,MilkGirl,MilkGirl,MilkGirl,MilkGirl,MilkGirl,MilkGirl
WEA_SLOT,SLOT-WEA_SLOT-SnowQueen,冰雪女王,SnowQueen,冰雪女王,SnowQueen,SnowQueen,SnowQueen,SnowQueen,SnowQueen,SnowQueen
WEA_SLOT,SLOT-WEA_SLOT-QuadrupleDragons,开龙发发发发,QuadrupleDragons,開龍發發發發,QuadrupleDragons,QuadrupleDragons,QuadrupleDragons,QuadrupleDragons,QuadrupleDragons,QuadrupleDragons
WEA_SLOT,SLOT-WEA_SLOT-SuperShot,超级旋转,SuperShot,超級旋轉,SuperShot,SuperShot,SuperShot,SuperShot,SuperShot,SuperShot
WEA_SLOT,SLOT-WEA_SLOT-RedCliff,赤壁,RedCliff,赤壁,RedCliff,RedCliff,RedCliff,RedCliff,RedCliff,RedCliff
WEA_SLOT,SLOT-WEA_SLOT-QuickPlayCandy,糖果快对,QuickPlayCandy,糖果快對,QuickPlayCandy,QuickPlayCandy,QuickPlayCandy,QuickPlayCandy,QuickPlayCandy,QuickPlayCandy
WEA_SLOT,SLOT-WEA_SLOT-Speakeasy,灯红酒绿,Speakeasy,燈紅酒綠,Speakeasy,Speakeasy,Speakeasy,Speakeasy,Speakeasy,Speakeasy
WEA_SLOT,SLOT-WEA_SLOT-HouYi,后羿射日,HouYi,后羿射日,HouYi,HouYi,HouYi,HouYi,HouYi,HouYi
WEA_SLOT,SLOT-WEA_SLOT-DrGeek,神经博士,DrGeek,神經博士,DrGeek,DrGeek,DrGeek,DrGeek,DrGeek,DrGeek
WEA_SLOT,SLOT-WEA_SLOT-BonusManiaDeluxe,疯狂奖金豪华版,BonusManiaDeluxe,瘋狂獎金豪華版,BonusManiaDeluxe,BonusManiaDeluxe,BonusManiaDeluxe,BonusManiaDeluxe,BonusManiaDeluxe,BonusManiaDeluxe
WEA_SLOT,SLOT-WEA_SLOT-WongTaiSin,黄大仙,WongTaiSin,黄大仙,WongTaiSin,WongTaiSin,WongTaiSin,WongTaiSin,WongTaiSin,WongTaiSin
WEA_SLOT,SLOT-WEA_SLOT-BlackRider,黑骑士,BlackRider,黑騎士,BlackRider,BlackRider,BlackRider,BlackRider,BlackRider,BlackRider
WEA_SLOT,SLOT-WEA_SLOT-Fastbreak,快攻,Fastbreak,快攻,Fastbreak,Fastbreak,Fastbreak,Fastbreak,Fastbreak,Fastbreak
WEA_SLOT,SLOT-WEA_SLOT-WildVick,熊孩子,WildVick,熊孩子,WildVick,WildVick,WildVick,WildVick,WildVick,WildVick
WEA_SLOT,SLOT-WEA_SLOT-BoxingRoo,拳击袋鼠,BoxingRoo,拳擊袋鼠,BoxingRoo,BoxingRoo,BoxingRoo,BoxingRoo,BoxingRoo,BoxingRoo
WEA_SLOT,SLOT-WEA_SLOT-SuperBonusMania,超级疯狂奖金,SuperBonusMania,超級瘋狂獎金,SuperBonusMania,SuperBonusMania,SuperBonusMania,SuperBonusMania,SuperBonusMania,SuperBonusMania
WEA_SLOT,SLOT-WEA_SLOT-SkyForce,空中部队,SkyForce,空中部隊,SkyForce,SkyForce,SkyForce,SkyForce,SkyForce,SkyForce
WEA_SLOT,SLOT-WEA_SLOT-Mexicaliente,火辣辣墨西哥,Mexicaliente,火辣辣墨西哥,Mexicaliente,Mexicaliente,Mexicaliente,Mexicaliente,Mexicaliente,Mexicaliente
WEA_SLOT,SLOT-WEA_SLOT-Sharpshooter,神射手,Sharpshooter,神射手,Sharpshooter,Sharpshooter,Sharpshooter,Sharpshooter,Sharpshooter,Sharpshooter
WEA_SLOT,SLOT-WEA_SLOT-LuckyAilurus,福运小熊猫,LuckyAilurus,福運小熊貓,LuckyAilurus,LuckyAilurus,LuckyAilurus,LuckyAilurus,LuckyAilurus,LuckyAilurus
WEA_SLOT,SLOT-WEA_SLOT-LittleMonk,小和尚,LittleMonk,小和尚,LittleMonk,LittleMonk,LittleMonk,LittleMonk,LittleMonk,LittleMonk
WEA_SLOT,SLOT-WEA_SLOT-Steampunk,蒸气庞克 锁好运,Steampunk,蒸氣龐克 鎖好運,Steampunk,Steampunk,Steampunk,Steampunk,Steampunk,Steampunk
WEA_SLOT,SLOT-WEA_SLOT-LoveGame,爱情游戏,LoveGame,愛情遊戲,LoveGame,LoveGame,LoveGame,LoveGame,LoveGame,LoveGame
WEA_SLOT,SLOT-WEA_SLOT-LaTomatina,番茄大战,LaTomatina,番茄大戰,LaTomatina,LaTomatina,LaTomatina,LaTomatina,LaTomatina,LaTomatina
WEA_SLOT,SLOT-WEA_SLOT-NieXiaoqian,聂小倩,NieXiaoqian,聶小倩,NieXiaoqian,NieXiaoqian,NieXiaoqian,NieXiaoqian,NieXiaoqian,NieXiaoqian
WEA_SLOT,SLOT-WEA_SLOT-Lilith,莉莉丝,Lilith,莉莉絲,Lilith,Lilith,Lilith,Lilith,Lilith,Lilith
WEA_SLOT,SLOT-WEA_SLOT-DoubleHappiness,红双喜,DoubleHappiness,紅雙喜,DoubleHappiness,DoubleHappiness,DoubleHappiness,DoubleHappiness,DoubleHappiness,DoubleHappiness
WEA_SLOT,SLOT-WEA_SLOT-ThePeonyPavilion,牡丹亭,ThePeonyPavilion,牡丹亭,ThePeonyPavilion,ThePeonyPavilion,ThePeonyPavilion,ThePeonyPavilion,ThePeonyPavilion,ThePeonyPavilion
WEA_SLOT,SLOT-WEA_SLOT-MasterOfWulin,天下五绝 锁好运,MasterOfWulin,天下五絕 鎖好運,MasterOfWulin,MasterOfWulin,MasterOfWulin,MasterOfWulin,MasterOfWulin,MasterOfWulin
WEA_SLOT,SLOT-WEA_SLOT-GreedyNight,贪婪之夜,GreedyNight,貪婪之夜,GreedyNight,GreedyNight,GreedyNight,GreedyNight,GreedyNight,GreedyNight
WEA_SLOT,SLOT-WEA_SLOT-Hanabi,花火,Hanabi,花火,Hanabi,Hanabi,Hanabi,Hanabi,Hanabi,Hanabi
WEA_SLOT,SLOT-WEA_SLOT-Firefighters,打火兄弟,Firefighters,打火兄弟,Firefighters,Firefighters,Firefighters,Firefighters,Firefighters,Firefighters
WEA_SLOT,SLOT-WEA_SLOT-Acrobats,杂技,Acrobats,雜技,Acrobats,Acrobats,Acrobats,Acrobats,Acrobats,Acrobats
WEA_SLOT,SLOT-WEA_SLOT-CheerUp,热血啦啦队,CheerUp,熱血啦啦隊,CheerUp,CheerUp,CheerUp,CheerUp,CheerUp,CheerUp
WEA_SLOT,SLOT-WEA_SLOT-ZhongYiAndDragon,钟义与小白龙,ZhongYiAndDragon,鐘義與小白龍,ZhongYiAndDragon,ZhongYiAndDragon,ZhongYiAndDragon,ZhongYiAndDragon,ZhongYiAndDragon,ZhongYiAndDragon
WEA_SLOT,SLOT-WEA_SLOT-MonsterFile,怪物档案,MonsterFile,怪物檔案,MonsterFile,MonsterFile,MonsterFile,MonsterFile,MonsterFile,MonsterFile
WEA_SLOT,SLOT-WEA_SLOT-GoEscape,冒险逃脱,GoEscape,冒險逃脫,GoEscape,GoEscape,GoEscape,GoEscape,GoEscape,GoEscape
WEA_SLOT,SLOT-WEA_SLOT-Fortuna,幸运女神,Fortuna,幸運女神,Fortuna,Fortuna,Fortuna,Fortuna,Fortuna,Fortuna
